name,slug,category,metros,doordash_slug,ubereats_slug,email,phone,website,email_source
"Minghin Cuisine - Streeterville",minghincuisine-streeterville,restaurant,chicago,,,info@minghincuisine.com,(312) 763-6996,https://www.minghincuisine.com/streeterville?utm_source=google&utm_medium=website,domain_guess
"Logan 11 Bar & Kitchen",logan11barkitchen,restaurant,chicago,,,info@logan11.com,(773) 252-1110,http://www.logan11.com/,domain_guess
"Kitchen + Kocktails By Kevin Kelley",kitchen-kocktails-by-kevin-kelley,restaurant,chicago,,,info@kitchenkocktailsusa.com,(312) 847-5543,http://kitchenkocktailsusa.com/,domain_guess
"Bar Siena",barsiena,restaurant,chicago,,,info@barsienawestloop.com,(312) 492-7775,https://www.barsienawestloop.com/,domain_guess
"Pilsen Yards",pilsenyards,restaurant,chicago,,,user@domain.com,(312) 243-2410,http://www.pilsenyards.com/,website_scrape
"QuesaBirria Jalisco Tacos",quesabirriajaliscotacos,mexican,chicago,,,visitchicago312@gmail.com,(773) 771-2123,https://visit-chicago.com/birria-tacos-consome-quesabirria/,website_scrape
"Pleasant House Pub",pleasanthousepub,restaurant,chicago,,,info@pleasanthousepub.com,(773) 523-7437,http://pleasanthousepub.com/,website_scrape
"5 Rabanitos Restaurante & Taqueria",5rabanitosrestaurantetaqueria,mexican,chicago,,,info@5rabanitos.com,(312) 285-2710,http://5rabanitos.com/,domain_guess
"Cantón Regio",cantnregio,restaurant,chicago,,,info@sites.google.com,(312) 733-3045,https://sites.google.com/view/canton-regio/,domain_guess
"La Esperanza Restaurant Pilsen",laesperanzarestaurantpilsen,restaurant,chicago,,,info@laesperanzarestaurant.toast.site,(312) 226-9640,https://laesperanzarestaurant.toast.site/,domain_guess
"Taqueria Los Comales Pilsen",taquerialoscomalespilsen,mexican,chicago,,,example@mysite.com,(312) 666-2251,http://www.taquerialoscomales.com/,website_scrape
"La Mejikana",lamejikana,restaurant,chicago,,,contact@lamejikana.com,(312) 877-5400,http://lamejikana.com/,website_scrape
"Gyuro Ramen",gyuroramen,japanese,chicago,,,user@domain.com,(312) 624-9414,http://gyuroramen.com/,website_scrape
"RAMEN-SAN Whisky Bar",ramen-sanwhiskybar,japanese,chicago,,,info@ramensan.com,(773) 645-0085,http://ramensan.com/,domain_guess
"Eggholic - Indian Street Food",eggholic-indianstreetfood,indian,chicago,,,example@email.com,(312) 940-3521,https://eggholic.com/,website_scrape
"Nepal House (South Loop)",nepalhousesouthloop,restaurant,chicago,,,nepalhousemichiganave@gmail.com,(312) 922-0601,http://nepalhouseonline.com/,website_scrape
"Siam Thai Eatery Chicago",siamthaieaterychicago,thai,chicago,,,info@siamthaieatery.com,(312) 763-6193,https://www.siamthaieatery.com/,domain_guess
"Ezankaya",ezankaya,restaurant,chicago,,,info@ezankaya.com,(872) 361-8636,https://ezankaya.com/?utm_source=google,domain_guess
"Neko Sushi&Thai",nekosushithai,japanese,chicago,,,info@order.toasttab.com,(708) 831-5362,https://order.toasttab.com/online/neko-5239-north-central-avenue,domain_guess
"Wilde Irish Bar & Restaurant",wildeirishbarrestaurant,restaurant,chicago,,,info@wildechicago.com,(773) 244-0404,https://www.wildechicago.com/,domain_guess
"5 ways to ramp up your restaurant online ordering system",5waystorampupyourrestaurantonlineorderin,restaurant,chicago,,,,,,
"4 tech-focused tips to fight rising restaurant costs",4tech-focusedtipstofightrisingrestaurant,restaurant,chicago,,,info@57threstaurant.com,(770) 234-0057,http://www.57threstaurant.com/,domain_guess
"How to set up online food ordering in an afternoon",howtosetuponlinefoodorderinginanafternoo,restaurant,chicago,,,info@thehungryaf.com,(404) 748-1912,https://thehungryaf.com/,domain_guess
"Blue Bayou – New Orleans–inspired sports bar in Chicago",bluebayouneworleansinspiredsportsbarinch,restaurant,chicago,,,bluebayou@lastcalltaverngroup.com,(773) 219-2007,https://www.bluebayouchitown.com/,website_scrape
"Why every restaurant needs an interactive menu",whyeveryrestaurantneedsaninteractivemenu,restaurant,chicago,,,info@thehungryaf.com,(404) 748-1912,https://thehungryaf.com/,domain_guess
"Virtual restaurants need these 6 digital tools",virtualrestaurantsneedthese6digitaltools,restaurant,chicago,,,sales@cloudkitchens.com,,https://cloudkitchens.com/locations/chicago/north-center/?utm_source=gmb&utm_medium=organic&utm_content=RockwellFoodPick-Up,website_scrape
"Restaurant analytics: How to collect (and use) guest data",restaurantanalyticshowtocollectandusegue,restaurant,chicago,,,,,,
"Restaurant menu ideas: 9 of the best menus to inspire you",restaurantmenuideas9ofthebestmenustoinsp,restaurant,chicago,,,,,,
"Jibaritos - Chicago, IL 60634 (Menu & Order Online)",jibaritos-chicagoil60634menuorderonline,restaurant,chicago,,,jibaritosymas@gmail.com,(773) 799-8601,https://www.jibaritosymas.net/,website_scrape
"Bulerias Tapas Bar - Chicago, IL 60647 (Menu & Order Online)",buleriastapasbar-chicagoil60647menuorder,restaurant,chicago,,,info@buleriaschicago.com,(773) 404-5466,https://www.buleriaschicago.com/,website_scrape
"Bliss Resto - Chicago, IL 60613 (Menu & Order Online)",blissresto-chicagoil60613menuorderonline,restaurant,chicago,,,,,,
"Home - [inactive] Southside Chicago BBQ",home-inactivesouthsidechicagobbq,bbq,chicago,,,user@domain.com,(312) 754-0431,https://greenstreetmeats.com/,website_scrape
"Home - Jerez Restaurant",home-jerezrestaurant,restaurant,chicago,,,info@jerezrestaurant.com,(708) 897-0844,https://jerezmexicanrestaurant.com/,website_scrape
"Home - Taste of Chicago 2",home-tasteofchicago2,restaurant,chicago,,,info@tasteofchicago-online.com,(773) 579-0355,http://tasteofchicago-online.com/,domain_guess
"Mandala Cafe - CHICAGO, IL 60608 (Menu & Order Online)",mandalacafe-chicagoil60608menuorderonlin,cafe,chicago,,,,,,
"Jin Thai Cuisine - Chicago, IL 60640 (Menu & Order Online)",jinthaicuisine-chicagoil60640menuorderon,thai,chicago,,,user@domain.com,(773) 681-0555,http://www.jinthaicuisine.com/,website_scrape
"Home - Taste of ChiTown",home-tasteofchitown,restaurant,chicago,,,,,,
"POCKETS - CHICAGO, IL 60645 (Menu & Order Online)",pockets-chicagoil60645menuorderonline,restaurant,chicago,,,info@pocketsonline.com,(773) 528-2167,http://pocketsonline.com/,domain_guess
"Online Ordering and Restaurant Marketing System",onlineorderingandrestaurantmarketingsyst,restaurant,chicago,,,info@culinarydropout.com,(980) 215-9005,https://www.culinarydropout.com/locations/charlotte-nc/?utm_source=Google&utm_medium=Organic&utm_campaign=Maps,domain_guess
"Restaurant Marketing Blog",restaurantmarketingblog,restaurant,chicago,,,Info@seagrillnc.com,(704) 703-3399,https://www.seagrillnc.com/,website_scrape
"Owner.com",ownercom,restaurant,chicago,,,info@restaurantowner.com,(877) 533-4449,https://www.restaurantowner.com/,domain_guess
"Old Chicago Catering",oldchicagocatering,restaurant,chicago,,,info@chicagos-pizza.com,(773) 477-2777,https://chicagos-pizza.com/chicagospizzalakeview?utm_source=google,domain_guess
"Chicago Restaurant Week 2025 DINNER MENU",chicagorestaurantweek2025dinnermenu,restaurant,chicago,,,you@email.com,(312) 822-0100,https://www.riverroastchicago.com/,website_scrape
"Chicago Restaurant Week Menu 2026",chicagorestaurantweekmenu2026,restaurant,chicago,,,,,,
"Butcher & Rose",butcherrose,restaurant,columbus,,,info@butcherandrose.com,(614) 918-9819,https://butcherandrose.com/,domain_guess
"Forno Kitchen + Bar",fornokitchenbar,restaurant,columbus,,,info@fornoshortnorth.com,(614) 469-0053,https://fornoshortnorth.com/,website_scrape
"Agni",agni,restaurant,columbus,,,user@domain.com,(614) 674-6600,http://www.dineatagni.com/,website_scrape
"The Refectory Restaurant",therefectoryrestaurant,restaurant,columbus,,,info@refectory.com,(614) 451-9774,http://www.refectory.com/,domain_guess
"Elevator Brewery & Draught Haus",elevatorbrewerydraughthaus,cafe,columbus,,,user@domain.com,(614) 228-0500,http://www.elevatorbrewing.com/,website_scrape
"Valters at the Maennerchor",valtersatthemaennerchor,restaurant,columbus,,,valter_v@live.com,(614) 444-3531,http://www.valtersatthemaennerchor.com/,website_scrape
"South Village Grille",southvillagegrille,restaurant,columbus,,,Contact@SouthVillageGrille.com,(614) 826-0491,https://www.southvillagegrille.com/,website_scrape
"Cento",cento,restaurant,columbus,,,privatediningcento@cameronmitchell.com,(614) 696-6565,https://centogermanvillage.com/,website_scrape
"The Thurman Cafe",thethurmancafe,cafe,columbus,,,info@thethurmancafe.com,(614) 443-1570,https://thethurmancafe.com/,domain_guess
"Hofbräuhaus Columbus",hofbruhauscolumbus,restaurant,columbus,,,events@hofbrauhauscolumbus.com,(614) 294-2437,http://hofbrauhauscolumbus.com/,website_scrape
"HangOverEasy",hangovereasy,restaurant,columbus,,,info@hangovereasy.com,(614) 928-3778,https://www.hangovereasy.com/,domain_guess
"Virtual restaurants need these 6 digital tools",virtualrestaurantsneedthese6digitaltools,restaurant,columbus,,,sales@cloudkitchens.com,,https://cloudkitchens.com/locations/chicago/north-center/?utm_source=gmb&utm_medium=organic&utm_content=RockwellFoodPick-Up,website_scrape
"How to set up online food ordering in an afternoon",howtosetuponlinefoodorderinginanafternoo,restaurant,columbus,,,info@thehungryaf.com,(404) 748-1912,https://thehungryaf.com/,domain_guess
"How to build emails for restaurants",howtobuildemailsforrestaurants,restaurant,columbus,,,,,,
"Restaurant analytics: How to collect (and use) guest data",restaurantanalyticshowtocollectandusegue,restaurant,columbus,,,,,,
"Home - Cinnamon Indian Grill",home-cinnamonindiangrill,indian,columbus,,,info@cinnamonindiangrill.com,(614) 261-9309,https://cinnamonindiangrill.com/?utm_source=google,domain_guess
"Online Ordering and Restaurant Marketing System",onlineorderingandrestaurantmarketingsyst,restaurant,columbus,,,info@culinarydropout.com,(980) 215-9005,https://www.culinarydropout.com/locations/charlotte-nc/?utm_source=Google&utm_medium=Organic&utm_campaign=Maps,domain_guess
"Dragonfly",dragonfly,restaurant,dallas,,,info@hotelzaza.com,(214) 550-9500,https://www.hotelzaza.com/dallas/dining/dragonfly?utm_source=google&utm_medium=Local+Search&utm_campaign=Google+My+Business,domain_guess
"The Woolworth",thewoolworth,restaurant,dallas,,,info@thewoolworthdallas.com,(214) 814-0588,https://www.thewoolworthdallas.com/,website_scrape
"The Hampton Social",the-hampton-social,restaurant,dallas,,,norris@parkerhospitality.com,(720) 677-7595,https://www.thehamptonsocial.com/,website_scrape
"The Henry",thehenry,restaurant,dallas,,,info@thehenryrestaurant.com,(972) 677-9560,https://www.thehenryrestaurant.com/locations/the-henry-dallas/?utm_source=Google&utm_medium=Organic&utm_campaign=Maps,domain_guess
"Monarch Restaurant",monarchrestaurant,restaurant,dallas,,,info@monarchrestaurants.com,(214) 945-2222,http://www.monarchrestaurants.com/,domain_guess
"Written by the Seasons",writtenbytheseasons,restaurant,dallas,,,hello@writtenbytheseasons.com,(469) 580-1185,http://www.writtenbytheseasons.com/,website_scrape
"3Eleven Kitchen and Cocktails",3elevenkitchenandcocktails,restaurant,dallas,,,jaykhan1701@yahoo.com,(214) 744-1423,https://3elevendallas.com/,website_scrape
"La Stella Cucina Verace",lastellacucinaverace,restaurant,dallas,,,management@lastellatx.com,(469) 663-7800,https://www.lastellatx.com/,website_scrape
"MIRADOR",mirador,restaurant,dallas,,,info@mirador-dallas.com,(214) 945-8200,https://www.mirador-dallas.com/,domain_guess
"Hawkers Asian Street Food",hawkersasianstreetfood,restaurant,dallas,,,info@eathawkers.com,(214) 271-8111,https://eathawkers.com/?olonwp=JjBtp_vMLk25gkYh_bnoiQ,domain_guess
"Brick & Bones",brickbones,restaurant,dallas,,,manager@bricknbones.com,(469) 914-6776,https://bricknbones.com/,website_scrape
"Angry Dog",angrydog,restaurant,dallas,,,social@angrydog.com,(214) 741-4406,https://www.angrydog.com/,website_scrape
"Vidorra",vidorra,restaurant,dallas,,,info@vidorracocina.com,(972) 215-0640,https://www.vidorracocina.com/,domain_guess
"Nowhere Deep Ellum",nowheredeepellum,restaurant,dallas,,,user@domain.com,,http://nowheredtx.com/,website_scrape
"Pecan Lodge",pecanlodge,restaurant,dallas,,,catering@pecanlodge.com,(214) 748-8900,http://www.pecanlodge.com/,website_scrape
"Ruins",ruins,restaurant,dallas,,,info@banjostobeats.com,(972) 707-0607,https://www.ruinsdeepellum.com/,website_scrape
"Sixty Vines",sixtyvines,restaurant,dallas,,,reston@sixtyvines.com,(980) 296-0381,http://www.sixtyvines.com/,website_scrape
"Haywire",haywire,restaurant,dallas,,,plano@haywirerestaurant.com,(469) 501-5522,http://haywirerestaurant.com/,website_scrape
"The Rustic",therustic,restaurant,dallas,,,info@therustic.com,(214) 730-0596,https://therustic.com/,domain_guess
"Kitchen + Kocktails by Kevin Kelley",kitchen-kocktails-by-kevin-kelley,restaurant,dallas,,,info@kitchenkocktailsusa.com,(312) 847-5543,http://kitchenkocktailsusa.com/,domain_guess
"Moxies Dallas Uptown Restaurant",moxiesdallasuptownrestaurant,restaurant,dallas,,,bmartinez@eatzhospitality.com,(469) 687-0050,https://moxies.com/restaurants/dallas-crescent-court?utm_source=GMB&utm_medium=google-location-listing&utm_campaign=organic,website_scrape
"Paradiso",paradiso,restaurant,dallas,,,hello@paradisodallas.com,(214) 944-5865,https://paradisodallas.com/,website_scrape
"Stock & Barrel",stockbarrel,restaurant,dallas,,,info@stockandbarreldallas.com,(214) 888-0150,http://stockandbarreldallas.com/,domain_guess
"Encina",encina,restaurant,dallas,,,user@domain.com,(945) 306-3067,http://encinadallas.com/,website_scrape
"Coco’s",cocos,restaurant,dallas,,,info@cocos.restaurant,(469) 781-0222,http://www.cocos.restaurant/,domain_guess
"Sketches of Spain",sketchesofspain,restaurant,dallas,,,user@domain.com,(214) 484-6006,http://www.sketchesofspain.com/,website_scrape
"Little Blue Bistro",littlebluebistro,restaurant,dallas,,,info@littlebluebistro.com,(214) 247-6454,https://www.littlebluebistro.com/,website_scrape
"Hurtado Barbecue Dallas",hurtadobarbecuedallas,bbq,dallas,,,info@hurtadobbq.com,(214) 556-8136,https://hurtadobbq.com/,domain_guess
"Cattleack Barbeque",cattleackbarbeque,restaurant,dallas,,,info@cattleackbbq.com,(972) 805-0999,http://cattleackbbq.com/,domain_guess
"Las Palmas Tex-Mex",laspalmastex-mex,restaurant,dallas,,,events@laspalmastexmex.com,(214) 647-1232,https://laspalmasdallas.com/,website_scrape
"Rj Mexican Cuisine",rjmexicancuisine,mexican,dallas,,,rjmexicancuisine@sbcglobal.net,(214) 744-1420,https://www.rjmexicancuisine.com/,website_scrape
"E Bar Tex-Mex",ebartex-mex,restaurant,dallas,,,info@ebartexmex.com,(214) 824-3227,https://www.ebartexmex.com/,website_scrape
"Meso Maya Comida y Copas",mesomayacomidaycopas,restaurant,dallas,,,prestonforest@mesomaya.com,(214) 484-6555,https://www.mesomaya.com/,website_scrape
"El Vecino Tex Mex",elvecinotexmex,restaurant,dallas,,,user@domain.com,(469) 802-6060,https://www.elvecinotexmex.com/,website_scrape
"Desperados Mexican Restaurant",desperadosmexicanrestaurant,mexican,dallas,,,Uno@DesperadosRestaurant.com,(214) 363-1850,http://www.desperadosrestaurant.com/,website_scrape
"Mister O1 Extraordinary Pizza Turtle Creek",mistero1extraordinarypizzaturtlecreek,pizza,dallas,,,info@mistero1.com,(214) 432-4434,https://www.mistero1.com/,website_scrape
"Bellatrino Pizzeria",bellatrinopizzeria,pizza,dallas,,,john@dallasbestpizza.com,(214) 495-1303,https://bellatrinopizzeria.com/,website_scrape
"Pie Tap Pizza + Rotisserie + Bar",pietappizzarotisseriebar,pizza,dallas,,,jmagana@reachhg.com,(469) 677-0997,https://www.pie-tap.com/,website_scrape
"Delucca Gaucho Pizza & Wine",delucca-gaucho-pizza-wine,pizza,dallas,,,INFO@DELUCCA.COM,(214) 774-9903,https://www.delucca.com/,website_scrape
"Good Side Pizza Pub",goodsidepizzapub,pizza,dallas,,,goodsidepizza@gmail.com,(469) 817-4663,https://www.goodsidepizza.com/,website_scrape
"Pizzeria Carina",pizzeriacarina,pizza,dallas,,,contact@carinapizzeria.com,(214) 774-9747,https://carina.pizza/,website_scrape
"Partenope Ristorante",partenoperistorante,italian,dallas,,,ciao@partenopedallas.com,(214) 463-6222,https://www.partenopedallas.com/,website_scrape
"The Heritage Table",theheritagetable,restaurant,dallas,,,info@theheritagetable.com,(469) 664-0100,http://www.theheritagetable.com/,website_scrape
"Craftway Kitchen Frisco",craftwaykitchenfrisco,restaurant,dallas,,,eric@cwkit.com,(469) 294-0067,http://www.craftwaykitchen.com/,website_scrape
"The Common Table",thecommontable,restaurant,dallas,,,frisco@thecommontable.com,(469) 797-0964,https://www.thecommontable.com/,website_scrape
"Hutchins BBQ",hutchinsbbq,bbq,dallas,,,dustin@ckk.dev,(972) 548-2629,https://hutchinsbbq.com/,website_scrape
"Tupelo Honey Southern Kitchen & Bar",tupelohoneysouthernkitchenbar,southern,dallas,,,info@tupelohoneycafe.com,(972) 573-3189,https://tupelohoneycafe.com/?olonwp=z17TA_tz20aL5UmKf8LjMg,domain_guess
"The Glen Restaurant",theglenrestaurant,restaurant,dallas,,,info@theglenrestaurant.com,(469) 731-0010,https://www.theglenrestaurant.com/,domain_guess
"La Hacienda Ranch",lahaciendaranch,restaurant,dallas,,,abc@xyz.com,(972) 248-2424,http://www.laharanch.com/,website_scrape
"Nerdvana",nerdvana,restaurant,dallas,,,txinfo@nerdvanagroup.com,(214) 308-9080,http://nerdvanafrisco.com/,website_scrape
"Salute Italian Restaurant Frisco",saluteitalianrestaurantfrisco,italian,dallas,,,salutefriscotx@gmail.com,(214) 407-7402,http://saluteitalianfrisco.com/,website_scrape
"Hudson House",hudsonhouse,restaurant,dallas,,,info@hudsonhouse.com,(214) 583-2255,https://www.hudsonhouse.com/,domain_guess
"Ida Claire",idaclaire,restaurant,dallas,,,info@ida-claire.com,(214) 377-8227,http://ida-claire.com/,domain_guess
"Little Daisy",littledaisy,restaurant,dallas,,,user@domain.com,(469) 726-4121,https://littledaisydallas.com/,website_scrape
"Maple Leaf Diner",mapleleafdiner,restaurant,dallas,,,info@mldiner.com,(214) 434-1626,http://mldiner.com/,domain_guess
"Pie Tap Pizza Workshop + Bar - Pizza Restaurant in TX",pietappizzaworkshopbar-pizzarestaurantin,pizza,dallas,,,info@pie-tap.com,(972) 432-7800,http://pie-tap.com/,domain_guess
"How to create (and use) a restaurant email list",howtocreateandusearestaurantemaillist,restaurant,dallas,,,user@domain.com,(704) 919-1919,http://www.confusionloso.com/,website_scrape
"Restaurant menu ideas: 9 of the best menus to inspire you",restaurantmenuideas9ofthebestmenustoinsp,restaurant,dallas,,,,,,
"The ultimate guide to restaurant branding",theultimateguidetorestaurantbranding,restaurant,dallas,,,user@domain.com,(980) 549-1999,https://restaurantconstance.com/,website_scrape
"Home - CH Food Corp",home-chfoodcorp,restaurant,dallas,,,,,,
"RestaurantGPT",restaurantgpt,restaurant,dallas,,,info@wearefoundingfarmers.com,(202) 822-8783,https://www.wearefoundingfarmers.com/location/dc/,domain_guess
"Online Ordering and Restaurant Marketing System",onlineorderingandrestaurantmarketingsyst,restaurant,dallas,,,info@culinarydropout.com,(980) 215-9005,https://www.culinarydropout.com/locations/charlotte-nc/?utm_source=Google&utm_medium=Organic&utm_campaign=Maps,domain_guess
"Billy Can Can",billycancan,restaurant,dallas,,,info@billycancan.com,(214) 296-2610,http://www.billycancan.com/,domain_guess
"Snappy Salads in Dallas, TX",snappysaladsindallastx,healthy,dallas,,,catering@snappysalads.com,(214) 361-7627,http://www.snappysalads.com/,website_scrape
"Home",home,restaurant,dallas,,,info@hudsonhouse.com,(214) 583-2255,https://www.hudsonhouse.com/,domain_guess
"New The Finch Dallas LBW Menu 10.2.24",newthefinchdallaslbwmenu10224,restaurant,dallas,,,info@thefinchdallas.com,(469) 893-0990,https://www.thefinchdallas.com/,domain_guess
"The Reserve (HILTON Curio Dallas)",thereservehiltoncuriodallas,restaurant,dallas,,,info@hilton.com,(214) 459-3930,https://www.hilton.com/en/hotels/dfwstqq-the-statler-dallas/?SEO_id=GMB-AMER-QQ-DFWSTQQ&y_source=1_ODMxODAxNi03MTUtbG9jYXRpb24ud2Vic2l0ZQ%3D%3D,domain_guess
"PRIVATE DINING 2817 WEST DALLAS STREET HOUSTON TX",private-dining-2817-west-dallas-street-houston-tx,restaurant,dallas,,,info@lagrigliarestaurant.com,(713) 526-4700,https://www.lagrigliarestaurant.com/location/la-griglia/,domain_guess
"THE LUNCHROOM",thelunchroom,restaurant,dallas,,,,,,
"How to set up online food ordering in an afternoon",howtosetuponlinefoodorderinginanafternoo,restaurant,dc,,,info@thehungryaf.com,(404) 748-1912,https://thehungryaf.com/,domain_guess
"Wok and Roll Karaoke - Washington, DC",wokandrollkaraoke-washingtondc,chinese,dc,,,info@wokandrolldc.com,(202) 450-4702,https://www.wokandrolldc.com/,domain_guess
"Home - El Gitano Bellingham - Restaurant in WA",home-elgitanobellingham-restaurantinwa,restaurant,dc,,,info@elgitano.net,(360) 714-1065,http://www.elgitano.net/,domain_guess
"Accessibility Review - Restaurant in Atlanta, GA",accessibilityreview-restaurantinatlantag,restaurant,dc,,,user@domain.com,(404) 254-5760,http://www.theconsulateatlanta.com/,website_scrape
"Online Ordering and Restaurant Marketing System",onlineorderingandrestaurantmarketingsyst,restaurant,dc,,,info@culinarydropout.com,(980) 215-9005,https://www.culinarydropout.com/locations/charlotte-nc/?utm_source=Google&utm_medium=Organic&utm_campaign=Maps,domain_guess
"RestaurantGPT",restaurantgpt,restaurant,dc,,,info@wearefoundingfarmers.com,(202) 822-8783,https://www.wearefoundingfarmers.com/location/dc/,domain_guess
"Restaurant Marketing Blog",restaurantmarketingblog,restaurant,dc,,,Info@seagrillnc.com,(704) 703-3399,https://www.seagrillnc.com/,website_scrape
"Olo - Restaurant Technology & Digital Ordering Platform",olo-restauranttechnologydigitalorderingp,restaurant,dc,,,,,,
"Sweetgreen",sweetgreen,restaurant,dc,,,info@sweetgreen.com,(202) 234-7336,https://www.sweetgreen.com/locations/logan-circle,domain_guess
"Halal Guys",halalguys,restaurant,dc,,,info@thehalalguys.com,(202) 655-5813,https://thehalalguys.com/locations/50-massachusetts-avenue-district-of-columbia/,domain_guess
"Founding Farmers",foundingfarmers,restaurant,dc,,,info@wearefoundingfarmers.com,(202) 822-8783,https://www.wearefoundingfarmers.com/location/dc/,domain_guess
"Busboys and Poets",busboysandpoets,restaurant,dc,,,catering@busboysandpoets.com,(202) 387-7638,http://www.busboysandpoets.com/,website_scrape
"Pho 75",pho75,vietnamese,dc,,,info@pho75arlington.com,(703) 525-7355,http://www.pho75arlington.com/,domain_guess
"District Taco",districttaco,mexican,dc,,,catering@districttaco.com,(202) 347-7359,https://www.districttaco.com/?olonwp=JjBtp_vMLk25gkYh_bnoiQ,website_scrape
"Amsterdam Falafelshop",amsterdamfalafel,mediterranean,dc,,,falafelsamcorp@gmail.com,(202) 248-0375,https://www.falafelsamdc.com/,website_scrape
"Bonchon",bonchon,restaurant,dc,,,info@restaurants.bonchon.com,(202) 488-4000,https://restaurants.bonchon.com/locations/dc/washington-dc/1015-half-st-se,domain_guess
"Good Stuff Eatery",goodstuffeatery,restaurant,dc,,,info@goodstuffeatery.com,(202) 543-8222,http://www.goodstuffeatery.com/,domain_guess
"Le Diplomate",lediplomate,restaurant,dc,,,lediplomate.info@starr-restaurant.com,(202) 332-3333,http://lediplomatedc.com/?utm_source=GoogleBusinessProfile&utm_medium=Website&utm_campaign=MapLabs,website_scrape
"Compass Rose",compassrose,restaurant,dc,,,,,,
"Old Ebbitt Grill",oldebbittgrill,restaurant,dc,,,donations@clydes.com,(202) 347-4800,https://www.ebbitt.com/,website_scrape
"Duke\\",dukesgrocery,restaurant,dc,,,info@dukescounter.com,(202) 733-4808,http://www.dukescounter.com/,domain_guess
"Taqueria Habanero",taqueriahabanero,mexican,dc,,,info@taqueriahabanero.com,(202) 722-7700,https://www.taqueriahabanero.com/,domain_guess
"Rose\\",rosesluxury,restaurant,dc,,,info@rosesluxury.com,(202) 742-3570,https://www.rosesluxury.com/,website_scrape
"DGS Delicatessen",dgs,deli,dc,,,info@dgsdelicatessen.com,(202) 293-4400,http://www.dgsdelicatessen.com/,domain_guess
"Wiseguy Pizza",wiseguypizza,pizza,dc,,,user@domain.com,(202) 408-7800,https://www.wiseguypizza.com/,website_scrape
"Henry\\",henryssoulcafe,restaurant,dc,,,user@domain.com,(202) 989-5881,http://thehenridc.com/,website_scrape
"The Prime Rib",theprimerib,restaurant,dc,,,rebecca@theprimeribs.com,(202) 466-8811,https://theprimeribs.com/,website_scrape
"Bar Chinois",barchinois,restaurant,dc,,,information@barchinoisdc.com,(202) 851-6250,https://www.barchinoisdc.com/,website_scrape
"Cru Lounge",crulounge,restaurant,dc,,,example@email.com,(202) 868-9620,https://crulounge.com/,website_scrape
"The Diner",thediner,restaurant,dc,,,user@domain.com,(202) 232-8800,https://www.dinerdc.com/,website_scrape
"Zaytinya",zaytinya,restaurant,dc,,,info@zaytinya.com,(202) 638-0800,https://www.zaytinya.com/location/washington-dc/,domain_guess
"Medium Rare",mediumrare,restaurant,dc,,,user@domain.com,(202) 237-1432,http://www.mediumrarerestaurant.com/,website_scrape
"Centrolina",centrolina,restaurant,dc,,,user@domain.com,(202) 898-2426,http://www.centrolinadc.com/,website_scrape
"Temaki Den",temakiden,restaurant,denver,,,gm@temakiden.com,(303) 200-0530,http://www.temakiden.com/,website_scrape
"major tom",majortom,restaurant,denver,,,groundcontrol@majortomdenver.com,(303) 848-9777,https://majortomdenver.com/,website_scrape
"Federales Tacos & Tequila - RiNo",federales-tacos-tequila-rino,mexican,denver,,,contact@4Cbars.com,(303) 317-6262,https://www.federalesdenver.com/,website_scrape
"Alma Fonda Fina",almafondafina,restaurant,denver,,,user@domain.com,(303) 455-9463,https://www.almalohidenver.com/,website_scrape
"Nocturne",nocturne,restaurant,denver,,,info@nocturnejazz.com,(303) 295-3333,http://www.nocturnejazz.com/,domain_guess
"Cart-Driver RiNo",cart-driverrino,restaurant,denver,,,user@domain.com,(303) 292-3553,http://www.cart-driver.com/,website_scrape
"BearLeek",bearleek,restaurant,denver,,,user@domain.com,(303) 524-2447,http://www.bearleek.com/,website_scrape
"The Hampton Social",the-hampton-social,restaurant,denver,,,norris@parkerhospitality.com,(720) 677-7595,https://www.thehamptonsocial.com/,website_scrape
"Wildflower",wildflower,restaurant,denver,,,events@wildflowerlohi.com,(720) 372-7999,https://www.wildflower-lohi.com/,website_scrape
"Mezcaleria Alma",mezcaleriaalma,restaurant,denver,,,user@domain.com,(303) 484-1471,https://mezcaleriaalma.com/,website_scrape
"Sassafras American Eatery, Highlands",sassafrasamericaneateryhighlands,restaurant,denver,,,eat.sassafras@gmail.com,(303) 433-0080,http://www.sassafrasamericaneatery.com/,website_scrape
"Corinne Denver",corinnedenver,restaurant,denver,,,forms@tambourine.com,(720) 996-1555,https://www.corinnedenver.com/?utm_source=google&utm_medium=organic&utm_campaign=business_listing,website_scrape
"Cherry Creek Grill",cherrycreekgrill,restaurant,denver,,,info@cherrycreekgrill.com,(303) 322-3524,https://cherrycreekgrill.com/,domain_guess
"Hillstone",hillstone,restaurant,denver,,,info@hillstonerestaurant.com,(303) 333-4688,https://hillstonerestaurant.com/locations/denver/,domain_guess
"North Italia",northitalia,restaurant,denver,,,info@northitalia.com,(980) 279-8900,https://www.northitalia.com/locations/charlotte-nc/,domain_guess
"Culinary Dropout",culinarydropout,restaurant,denver,,,info@culinarydropout.com,(980) 215-9005,https://www.culinarydropout.com/locations/charlotte-nc/?utm_source=Google&utm_medium=Organic&utm_campaign=Maps,domain_guess
"Narrative",narrative,restaurant,denver,,,digital@sbcos.com,(720) 571-8080,http://narrativecherrycreek.com/?utm_source=gmb&utm_medium=Yext,website_scrape
